시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
탐방로                                                                              ,세렴폭포,,비로삼거리,2.5,120,110
탐방로                                                                              ,곧은재,,부곡공원지킴터,4.1,180,120
탐방로                                                                              ,곧은재공원지킴터,,곧은재,2.2,120,60
탐방로                                                                              ,금대야영장,,상원사,5.2,150,110
탐방로                                                                              ,국형사,보문사,향로봉삼거리,2.3,120,100
탐방로                                                                              ,윗황골,입석대,황골능선,2.8,120,90
구천동탐방지원센터~영각공원지킴터                                                   ,"구천동탐방지원센터,매표소",향적봉,"영각탐방지원센터,매표소",26000,840,840
서창공원지킴터~안국사                                                               ,"서창탐방지원센터,매표소",장도바위,안국사,3800,120,120
안성탐방지원센터~동엽령                                                             ,"안성탐방지원센터,매표소",칠연삼거리,동엽령,4400,120,100
송계사~백암봉                                                                       ,송계사,횡경재,백암봉,6500,200,180
백련사~중봉                                                                         ,백련사,오수자굴,중봉,4000,120,100
황점~삿갓골재                                                                       ,황점,,삿갓골재,3400,110,100
황점~월성재                                                                         ,황점,,월성재,2600,110,100
치목~안국사                                                                         ,치목,송대폭포,안국사,3700,100,100
인월담~향적봉                                                                       ,인월담,칠봉,향적봉,5700,180,160
서래봉~구관사앞                                                                     ,벽련암,불출~망해~연지~까치~신선~연자~장군봉,구관사앞,13200,480,0
원적골 자연관찰로                                                                   ,일주문,벽련암~사랑의다리~비자림,내장사,2700,80,0
제5주차장~서래약수                                                                  ,"제4,5주차장",서래탐방지원센터,서래약수,1000,70,0
백련암~서래봉                                                                       ,벽련암,석란정지,서래봉,500,40,0
까치봉~순창고개                                                                     ,까치봉,소둥근재,순창새재,2600,200,0
대가~신선봉                                                                         ,대가,,신선봉,1800,180,0
금선계곡~까치봉                                                                     ,금선계곡,,까치봉,900,60,0
내장사~금선대                                                                       ,내장사,금선계곡~신선삼거리,금선대,1700,100,0
내장사~연자봉                                                                       ,내장사,굴거리나무군락~전망대,연자봉,1200,50,0
입암~새재입구                                                                       ,입암탐방지원센터,,새재입구,6000,90,60
원적암~불출봉                                                                       ,원적암,,불출봉,900,50,0
상신탐방지원센터~작은배재                                                           ,상신탐방지원센터,큰배재,작은배재,4300,140,120
병사골탐방지원센터~큰배재                                                           ,병사골탐방지원센터,장군봉~갓바위,큰배재,4600,170,140
지석골탐방지원센터~갓바위삼거리                                                     ,지석골탐방지원센터,,갓바위삼거리,1200,50,30
천정탐방지원센터~천정골갈림길                                                       ,천정탐방지원센터,,천정골갈림길(지석골방향),1800,70,50
동학사세진정~큰배재                                                                 ,동학사세진정,남매탑,큰배재,2200,90,70
육심령~남덕유산                                                                     ,육십령,서봉,남덕유산,3600,300,240
17.을전~늦은맥이제                                                                  ,을전,벌바위골,늦은맥이재삼거리,4500,150,100
우이도탐방로                                                                        ,진리마을,,돈목,4,40,40
주산지입구~주산지(주산지탐방로)                                                     ,주산지입구(공원경계),,주산지,1000,20,15
월외1리~대전사                                                                      ,월외1리,금은광이삼거리-3폭포,대전사,12300,0,0
홍도 탐방로                                                                         ,홍도1구,,홍도2구,4.1,60,40
삼불봉고개~관음봉고개                                                               ,삼불봉고개,삼불봉~관음봉,관음봉고개,2000,80,80
갑사~남매탑                                                                         ,갑사,금잔디고개,남매탑,3000,160,140
제2폭포~제3폭포                                                                     ,제2폭포,가메봉-내원동,제3폭포,7700,240,0
탐방로                                                                              ,뱀사골정상,,삼각고지,12,180,0
탐방로                                                                              ,구룡사,투구봉,비로봉,9,300,240
탐방로                                                                              ,금대리,질아치,향로봉,8,180,160
송계리~송계삼거리                                                                   ,송계리,,송계삼거리,2500,90,60
덕주사~영봉                                                                         ,덕주사,송계삼거리,영봉,4900,210,180
만수교~만수봉~만수교                                                                ,만수교,만수봉,만수교,7300,150,90
지릅재~마패봉                                                                       ,지름재,마패봉삼거리,마패봉,2.3,90,60
상선암~제봉~도락산                                                                  ,상선암,제봉,도락산,3,120,90
하늘재~포암산~만수봉삼거리                                                          ,하늘재,포암산,만수봉삼거리,6000,180,150
상천리~금수산~상리                                                                  ,상천리,금수산,상리,2400,240,180
장회리~제비봉~얼음골                                                                ,장회리,제비봉,얼음골,4100,180,150
계란재~구담봉~옥순봉                                                                ,계란재,구담봉,옥순봉,2900,120,120
뫼악동~북바위산~물레방아                                                            ,뫼악동,북바위산,물레방아,4900,210,180
상선암~채운봉~도락산삼거리                                                          ,상선암,채운봉,도락산삼거리,2200,90,60
미륵리~하늘재                                                                       ,미륵리,,하늘재,2000,60,60
우이암~원통사                                                                       ,우이암,,원통사,2.05,80,60
